tortoisegit,2084
sympy,360
ps3mediaserver,3940
fofix,522
cocos2d-iphone,826
sipdroid,951
open-source-class,13
bwapi,287
khanacademy,340
sqlyog,226
kaytwo,181
openbookproject,240
recaptcha,208
specs,203
mobile-trail-explorer,73
ocropus,976
apps-for-android,1676
encog-java,154
dynamorio,62
robotframework-seleniumlibrary,52
pocketwit,374
google-secure-data-connector,74
atv-xbmc-launcher,45
rabbitvcs,97
exodus,63
macfusion,54
chineseext,48
noserub,35
rubydotnetcompiler,5
zingmeapis,4
proteusim,11
fscops,21
detour,11
piwam,35
xbmc-addons-chinese,32
ccc-gistemp,14
biometerrainmod,32
peaberry,115
mangadmin,12
projeto-sombra,10
gungame-python,12
rolisteam,15
axiis,100
wardtools,17
game-baker,28
servicestack,84
pcitcredo,5
xruby,17
blacktree-secrets,112
onlinedict,97
slim3,108
xnu-dev,199
gsopcast,14
django-tagging,417
eclihx,43
ftr-gwt-library,124
mybatisnet,60
guichan,16
strongtalk,23
plsnpairs,6
vaio-f11-linux,55
flare-browser,12
pixie-cms,71
mp4sdk,12
mobilefinder,23
robotframework-javatools,12
jessyink,109
tangible-images,4
ext3grep,46
tamt,2
ndjango,12
lrcdis,56
nbuilder,55
syphon-implementations,20
netbook-installer,359
gulliver,50
vosao,317
php-reader,68
fb-extended-lib,4
ehcache-spring-annotations,113
galaxyengine,84
lsyncd,285
priiloader,147
silverstripe-ecommerce,22
teletwitter,10
sapphire-port-dream,517
typica,136
smartypdt,127
gnome-mplayer,103
swoop,39
sk1,1
iris-toolbox-project,5
eid-applet,32
jwcp,22
kmediafactory,4
rdv,18
btalk,117
gfwinterceptor,388
mdsp,10
javaworldtw,10
phpsocks5,108
wub,9
myspaceid-java-sdk,10
r4ss,4
topmod,34
wbar,92
javapns,74
kettle-cookbook,19
javaapiforkml,63
palx,4
google-visualization-java,111
kfm,13
svnrevisionlabeller,21
pulpcore,66
icalk,7
jsendnsca,12
cnetjavascript,11
quadra,36
gss,39
iphone-language,5
rolgps,6
pymc,140
thehostingtool,29
glomaker,2
cocoa-sharp-dev,20
coordinate-talk,12
scite-for-php,15
google-chartwrapper,108
dtui-k52ca,6
cassia-sib,4
luainterface,46
php-form-builder-class,149
intrasell,1
ci-cms,45
syntaxhighlighter,781
rockbox-on-vx747,2
httpsqs,173
parsets,15
spontaneous-desktop-grid,2
google-calendar-connectors,70
oauth-dot-net,81
onyx-vj,9
hcsfsp,4
jarjar,172
evil-programmers,24
pocketgnome,60
phpshop,71
hg78ijavaprojects,4
mathlevel7,2
give-challenge,4
apostasis,20
snee,13
sfdc-cmsforce,11
buildroot,2
gwt-cal,224
firegss,2
lolshield,17
bitverse-unity-gui,39
eude,11
opencurrent,46
popwuj,2
xomb,6
pacercms,5
fhj-ws2010-itm08-sesoftde,4
gray-matter,24
stuproa-cims,3
surveyor-srv1-firmware,14
fluorinefx,40
owasp-esapi-dotnet,16
cn08b,2
substruct,111
wordpress-cli,31
android-rcs-ims-stack,36
stad,10
simal,6
vegas,51
classicthesis,23
boomslang,7
snapfly,11
sw6android,3
neologism,15
kbot2,4
contentmirror,18
tvdownloader,19
joverseer,4
spiffyui,23
miui-evo,3
nusdownloader,34
mflab,5
wodebrew,15
wgbuild,12
ziparchive,133
